State Name,State Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Andhra Pradesh,AP,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,79.02338071320544,38.14906152544873,20.424807643444424,82.92561837974974,37.69160089167116,57.085881975005854,14.582827177581663,51.054664100981796,31.9140358099444,54.33359813274084
Arunachal Pradesh,AR,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,17.653289412348798,41.32799519356166,24.318657014941074,32.42419521908548,52.96407026068095,18.186154462247668,28.31614193953569,28.71387384033668,44.196043421537034,26.589564496056664
Assam,AS,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,18.573842797758786,27.005427733372454,88.65076393494886,55.84498303160557,14.447234002467715,42.77991239793564,11.577614720453226,58.05263430211465,54.64065047261929,12.052409490735068
Bihar,BR,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,53.77283594339794,88.20503142411334,38.078491165356034,62.54103785913508,44.865791670636945,69.25589286264139,85.39586988563003,68.38534562221255,40.255272401640134,55.058851682078256
Chhattisgarh,CG,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,81.92303350866526,21.86021342676628,44.147362871077256,37.08748966040727,48.77535349088398,39.624177264669,37.91361743531607,72.73597307295856,76.64013230062835,21.072605028639934
Goa,GA,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,62.58447511801008,72.82429448501505,43.24451719968355,51.43489350891216,23.0718767992893,64.00337679008514,19.370557700130995,35.80054755093998,37.13664667672272,57.14899758174407
Gujarat,GJ,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,39.17942280771715,84.0780696260377,72.62670657508252,23.52762839408915,38.69232068960136,47.93747582842005,40.37730053054004,37.081593565357,58.28610244112609,73.1205299027942
Haryana,HR,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,57.09416501158949,78.23472224659108,45.97547077556634,60.2996285918077,86.47645857212663,51.71277689486044,63.743063449946035,72.37568828439841,50.46569393085291,19.795212058138645
Himachal Pradesh,HP,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,86.5011000359336,27.546595799255655,22.58961853935597,89.31085387689293,44.16220884284316,47.06534287321497,57.301432387862896,26.93982946028288,34.96626165083622,14.691338747535951
Jharkhand,JH,0.1,0.8615384615384616,1.6230769230769233,2.384615384615385,3.1461538461538465,3.907692307692308,4.6692307692307695,5.430769230769231,6.1923076923076925,6.953846153846154,7.7153846153846155,8.476923076923077,9.23846153846154,10.0,24.560551061752243,45.475861679074626,51.237721388757684,68.34333010132389,59.66579546641902,82.12339395768636,20.962460211432408,15.971947542892124,35.81764897017007,49.85172099856149
